Fri Mar 14 15:57:28 2025    financial.prof

         312307 function calls (312143 primitive calls) in 2.373 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1838    0.001    0.000    0.002    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/filter.py:538(matches_tag)
     2739    0.001    0.000    0.001    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/__init__.py:1065(handle_data)
      299    0.001    0.000    1.915    0.006 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
     8745    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:2371(cast)
     3152    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     2693    0.000    0.000    0.000    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
     2717    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2693    0.000    0.000    0.001    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
     3561    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      497    0.000    0.000    0.001    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/filter.py:612(_attribute_match)
     2710    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     2578    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     3570    0.000    0.000    0.000    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/element.py:2763(descendants)
      299    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     2760    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       39    0.000    0.000    0.799    0.020 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/urllib3/response.py:1173(read_chunked)
